count(a.movieId),b.tag,max(b.relevance)
191,imdb top 250,0.995
89,criterion,0.99775
88,masterpiece,0.99375
64,classic,0.983
57,great acting,0.98975
46,oscar (best directing),0.99775
43,tense,0.99725
39,oscar (best picture),0.9985
36,black and white,0.9765
30,drama,0.98925
29,original,0.9755
29,storytelling,0.98825
28,enigmatic,0.98725
27,loneliness,0.9935
27,oscar (best actor),0.98775
26,bleak,0.98275
26,talky,0.98225
25,crime,0.9865
24,adapted from:book,0.9885
24,complex,0.9925
24,dramatic,0.97925
23,amazing cinematography,0.9925
23,suspense,0.96325
22,great ending,0.9885
22,powerful ending,0.994
22,twists & turns,0.9945
22,visually appealing,0.98625
21,cinematography,0.96875
21,excellent script,0.99075
21,meditative,0.99625
21,narrated,0.9875
21,violence,0.99225
21,violent,0.99025
20,japan,0.9885
20,oscar (best actress),0.989
20,oscar (best supporting actor),0.9995
20,social commentary,0.97625
19,murder,0.97775
19,stylized,0.97475
19,world war ii,0.9965
18,cerebral,0.9855
18,great movie,0.95975
18,intimate,0.98875
18,oscar (best cinematography),0.99725
18,visually stunning,0.986
17,bittersweet,0.97675
17,dark,0.976
17,psychological,0.983
17,reflective,0.988
17,suspenseful,0.9905
17,visual,0.98875
16,action,0.98075
16,nazis,0.9925
16,poignant,0.96325
16,police investigation,0.99325
16,wwii,0.994
15,comedy,0.9815
15,hitchcock,0.99975
15,oscar (best foreign language film),0.9975
15,story,0.95325
14,best war films,0.99625
14,noir,0.995
14,noir thriller,0.99875
14,war,0.9915
13,adventure,0.997
13,brutality,0.979
13,complicated,0.9855
13,epic,0.98575
13,fantasy world,0.9925
13,golden palm,0.9935
13,greed,0.98525
13,imagination,0.99425
13,obsession,0.99525
13,relationships,0.997
12,dark humor,0.99125
12,documentary,0.98625
12,foreign,0.98
12,franchise,0.96625
12,gangsters,0.99775
12,highly quotable,0.9945
12,investigation,0.9745
12,murder mystery,0.99625
12,organized crime,0.99975
12,visceral,0.9605
12,wartime,0.981
11,afi 100,0.9875
11,amazing photography,0.9845
11,animation,0.99075
11,based on a book,0.96775
11,corruption,0.9755
11,downbeat,0.954
11,emotional,0.9435
11,film noir,0.9765
11,french,0.99
11,gangster,0.999
11,history,0.98925
11,insanity,0.987
11,kurosawa,0.9955
11,mentor,0.97925
11,plot twist,0.99575
11,quotable,0.9865
11,touching,0.9895
11,trilogy,0.998
10,based on book,0.975
10,futuristic,0.9975
10,good soundtrack,0.97775
10,nazi,0.98825
10,political,0.99075
10,sci fi,0.99
10,science fiction,0.9945
10,scifi,0.995
10,screwball comedy,0.9985
10,series,0.99175
10,space,0.99725
10,surreal,0.984
9,based on a play,0.989
9,childhood,0.9775
9,existentialism,0.96925
9,good acting,0.95475
9,heartwarming,0.962
9,historical,0.99225
9,intense,0.97425
9,love,0.99075
9,melancholic,0.98675
9,oscar,0.96
9,oscar (best supporting actress),0.977
9,paris,0.98525
9,small town,0.988
9,stylish,0.98675
9,true story,0.979
8,animated,0.9775
8,anime,0.97525
8,detective,0.99225
8,exceptional acting,0.95525
8,good versus evil,0.98575
8,grim,0.935
8,heist,0.99925
8,hit men,0.9995
8,jews,0.99875
8,mystery,0.97975
8,oscar (best editing),0.9945
8,oscar winner,0.9555
8,politics,0.9865
8,psychology,0.98325
8,sci-fi,0.988
8,serial killer,0.99675
8,special effects,0.984
7,adultery,0.96725
7,beautifully filmed,0.929
7,brutal,0.9645
7,complicated plot,0.98025
7,cult classic,0.9685
7,fighting,0.9755
7,forceful,0.93975
7,friendship,0.97125
7,future,0.9955
7,genocide,0.9995
7,germany,0.99775
7,gratuitous violence,0.9905
7,gunfight,0.9975
7,neo-noir,0.99425
7,paranoia,0.9835
7,prison escape,0.9965
7,samurai,0.98575
7,satire,0.95275
7,scenic,0.99475
7,screwball,0.9875
7,silent,0.988
7,surprise ending,0.99775
7,thriller,0.97675
7,twist ending,0.99025
6,big budget,0.982
6,bloody,0.9885
6,british,0.938
6,chase,0.9745
6,claustrophobic,0.986
6,coming of age,0.9875
6,court,0.981
6,creepy,0.96075
6,cynical,0.98475
6,dreams,0.99525
6,fighting the system,0.9935
6,france,0.99275
6,francis ford copolla,1
6,holocaust,0.99925
6,innocence lost,0.99475
6,interesting,0.93075
6,long,0.94325
6,magic,0.93925
6,mindfuck,0.9975
6,miyazaki,0.97675
6,mob,0.99725
6,mythology,0.9915
6,non-linear,0.97875
6,original plot,0.933
6,philosophical,0.972
6,poland,0.99775
6,redemption,0.961
6,romantic,0.96625
6,secrets,0.9865
6,space travel,0.9965
6,spying,0.99125
6,sword fight,0.98825
6,technology,0.98225
6,twist,0.97075
6,us history,0.976
5,absurd,0.97825
5,androids,0.99575
5,artistic,0.98225
5,assassination,0.9745
5,awesome soundtrack,0.97325
5,based on a true story,0.96525
5,camp,0.97275
5,caper,0.993
5,claymation,0.9965
5,conspiracy,0.996
5,courage,0.9815
5,dialogue,0.9515
5,disturbing,0.92975
5,espionage,0.99525
5,fantasy,0.9855
5,fast paced,0.98075
5,good,0.9225
5,good action,0.972
5,heartbreaking,0.97725
5,intellectual,0.96925
5,kubrick,0.97525
5,life,0.969
5,life & death,0.992
5,love story,0.967
5,mafia,0.9995
5,melancholy,0.956
5,military,0.97
5,modern fantasy,0.99425
5,musicians,0.99875
5,oscar (best effects - visual effects),0.955
5,poverty,0.96725
5,prison,0.98325
5,private detective,0.99225
5,satirical,0.95525
5,short,0.9575
5,space opera,0.99825
5,tragedy,0.954
5,unlikely friendships,0.978
5,weird,0.9785
5,western,0.9965
4,70mm,0.9935
4,aardman,0.977
4,aardman studios,1
4,assassin,0.98175
4,based on true story,0.92925
4,breathtaking,0.955
4,british comedy,0.993
4,character study,0.98075
4,children,0.96575
4,civil war,0.9805
4,cold war,0.97075
4,compassionate,0.99075
4,computer animation,0.99125
4,confusing,0.96375
4,courtroom,0.995
4,courtroom drama,0.97775
4,dark hero,0.99525
4,desert,0.98375
4,dynamic cgi action,0.97725
4,dystopic future,0.9995
4,fairy tale,0.98525
4,fascism,0.97225
4,father daughter relationship,0.99475
4,frightening,0.95175
4,gangs,0.98125
4,german,0.97325
4,hilarious,0.964
4,latin america,0.96775
4,mother-son relationship,0.99625
4,new york,0.98525
4,oscar (best animated feature),0.99875
4,police,0.968
4,romance,0.93775
4,rome,0.9925
4,russian,0.9775
4,scary,0.93875
4,spanish,0.995
4,spielberg,0.98
4,spy,0.9675
4,stand-up comedy,0.99375
4,stop motion,0.998
4,studio ghibli,0.9495
4,survival,0.95575
4,time loop,0.99675
4,treasure hunt,0.99775
4,unusual plot structure,0.99975
4,vengeance,0.9925
4,vietnam war,0.983
4,war movie,0.974
4,wizards,0.992
3,1930s,0.9815
3,adolescence,0.93975
3,africa,0.996
3,aliens,0.99625
3,alternate reality,0.944
3,anti-semitism,0.9485
3,art,0.9485
3,astronauts,0.9995
3,biographical,0.97875
3,biopic,0.95875
3,book was better,0.98725
3,coen bros,0.99975
3,cooking,0.9725
3,cool,0.9685
3,crime gone awry,0.99975
3,dialogue driven,0.963
3,drugs,0.99275
3,dystopia,0.9755
3,england,0.96075
3,exciting,0.9705
3,feel-good,0.975
3,firefly,0.997
3,god,0.99625
3,high fantasy,0.9975
3,hitman,0.954
3,horror,0.96675
3,japanese,0.9335
3,justice,0.9645
3,lawyer,0.98675
3,lawyers,0.997
3,liv tyler,0.9965
3,moral ambiguity,0.95125
3,music,0.98975
3,nasa,0.999
3,new york city,0.958
3,nonlinear,0.95675
3,nostalgic,0.972
3,period piece,0.94275
3,pixar,0.98125
3,pixar animation,0.99475
3,police corruption,0.9785
3,race issues,0.9975
3,rape,0.97675
3,romantic comedy,0.9945
3,russia,0.9685
3,saturn award (best special effects),0.9605
3,sentimental,0.95625
3,sports,0.9835
3,star wars,0.97475
3,stunning,0.9595
3,surveillance,0.99875
3,swedish,0.955
3,sword fighting,0.98125
3,tarantino,0.97475
3,texas,0.948
3,tolkien,0.9835
3,undercover cop,0.99875
3,voyeurism,0.994
2,addiction,0.99
2,affectionate,0.90325
2,alien,0.99975
2,allegory,0.96425
2,animals,0.933
2,anti-war,0.9605
2,archaeology,0.99575
2,art house,0.912
2,artist,0.99225
2,australia,0.9745
2,batman,0.98975
2,beautiful scenery,0.93175
2,boston,0.986
2,brainwashing,0.99625
2,china,0.9815
2,clever,0.907
2,clones,0.98875
2,coen brothers,0.94925
2,con artists,0.9945
2,con men,0.99475
2,costume drama,0.9725
2,cult film,0.92225
2,cyberpunk,0.995
2,dance,0.95575
2,dancing,0.95075
2,dark fantasy,0.997
2,death,0.99675
2,depression,0.94525
2,destiny,0.96875
2,disability,0.99
2,distopia,0.999
2,dreamlike,0.939
2,drug abuse,0.99525
2,drug addiction,0.995
2,earnest,0.91175
2,ennio morricone,0.971
2,ensemble cast,0.9225
2,excellent,0.9415
2,factual,0.9635
