count(a.movieId),b.tag,min(b.relevance)
191,imdb top 250,0.90025
89,criterion,0.9015
88,masterpiece,0.90025
64,classic,0.90075
57,great acting,0.90075
46,oscar (best directing),0.904
43,tense,0.90275
39,oscar (best picture),0.9045
36,black and white,0.9035
30,drama,0.90025
29,original,0.90025
29,storytelling,0.90025
28,enigmatic,0.90075
27,loneliness,0.90025
27,oscar (best actor),0.9015
26,bleak,0.90325
26,talky,0.90175
25,crime,0.905
24,adapted from:book,0.90425
24,complex,0.901
24,dramatic,0.9085
23,amazing cinematography,0.9025
23,suspense,0.911
22,great ending,0.903
22,powerful ending,0.90225
22,twists & turns,0.91125
22,visually appealing,0.90075
21,cinematography,0.90225
21,excellent script,0.9105
21,meditative,0.905
21,narrated,0.909
21,violence,0.90225
21,violent,0.90475
20,japan,0.9365
20,oscar (best actress),0.90625
20,oscar (best supporting actor),0.907
20,social commentary,0.92575
19,murder,0.902
19,stylized,0.90825
19,world war ii,0.9425
18,cerebral,0.91225
18,great movie,0.904
18,intimate,0.907
18,oscar (best cinematography),0.9175
18,visually stunning,0.903
17,bittersweet,0.90925
17,dark,0.91325
17,psychological,0.902
17,reflective,0.90375
17,suspenseful,0.90125
17,visual,0.903
16,action,0.908
16,nazis,0.906
16,poignant,0.90375
16,police investigation,0.91975
16,wwii,0.907
15,comedy,0.90675
15,hitchcock,0.90525
15,oscar (best foreign language film),0.929
15,story,0.90025
14,best war films,0.9205
14,noir,0.91025
14,noir thriller,0.91525
14,war,0.90175
13,adventure,0.90775
13,brutality,0.9015
13,complicated,0.9005
13,epic,0.902
13,fantasy world,0.901
13,golden palm,0.918
13,greed,0.9005
13,imagination,0.90375
13,obsession,0.90325
13,relationships,0.90075
12,dark humor,0.918
12,documentary,0.90025
12,foreign,0.90375
12,franchise,0.90525
12,gangsters,0.90075
12,highly quotable,0.93325
12,investigation,0.90225
12,murder mystery,0.90475
12,organized crime,0.90675
12,visceral,0.9045
12,wartime,0.903
11,afi 100,0.90825
11,amazing photography,0.90575
11,animation,0.91025
11,based on a book,0.90025
11,corruption,0.90025
11,downbeat,0.901
11,emotional,0.9025
11,film noir,0.9035
11,french,0.90275
11,gangster,0.90375
11,history,0.907
11,insanity,0.90775
11,kurosawa,0.90975
11,mentor,0.90025
11,plot twist,0.90225
11,quotable,0.90275
11,touching,0.9255
11,trilogy,0.923
10,based on book,0.91375
10,futuristic,0.9205
10,good soundtrack,0.91275
10,nazi,0.90975
10,political,0.90125
10,sci fi,0.9505
10,science fiction,0.90975
10,scifi,0.931
10,screwball comedy,0.9495
10,series,0.92275
10,space,0.9035
10,surreal,0.9085
